npi,name,entity,provider_type,city,state,setting,codes_billed,patients_2022,services_2022,patients_2023,services_2023,patients_2024,services_2024,also_billed_93660
1669134045,Alexa Canavan,I,Nurse Practitioner,Branford,CT,office,95921|95923,26,52,16,32,0,0,
1578576286,Alkesh Patel,I,Internal Medicine,Plantsville,CT,office,95921|95923,26,64,0,0,0,0,
1063454247,Angelo Accomando,I,Internal Medicine,East Haven,CT,office,95921|95923,124,229,87,163,65,119,
1861822983,Eric Lussier,I,Physician Assistant,Plantsville,CT,office,95921|95923,18,37,0,0,0,0,
1457419814,George Antonopoulos,I,Cardiology,Middlebury,CT,office,95921|95923,0,0,0,0,31,61,
1083290423,Ivanna Tsykhulyak,I,Nurse Practitioner,Waterbury,CT,office,95921|95923,0,0,17,38,14,34,
1164498473,Kevin Greene,I,Internal Medicine,Plantsville,CT,office,95921|95923,52,98,0,0,0,0,
1699723049,Mark Perrotti,I,Internal Medicine,Branford,CT,office,95921|95923,113,250,172,289,111,204,
1356667380,Matthew Imperioli,I,Neurology,Farmington,CT,hospital,95923|95924,15,30,0,0,0,0,
1871563247,Philip Mongelluzzo,I,Internal Medicine,Waterbury,CT,office,95921|95923,106,270,0,0,0,0,
1780945212,Piyush Gupta,I,Family Practice,West Haven,CT,office,95923,0,0,11,11,0,0,
1003806456,Ricardo Cordido,I,Cardiology,Hamden,CT,office,95921|95923,91,172,66,129,40,76,
1659454940,Sreedhar Gottiparthy,I,Internal Medicine,West Haven,CT,office,95921|95923,24,48,0,0,0,0,
1831193101,Anthony Eaton,I,Internal Medicine,Methuen,MA,office,95924,0,0,16,16,0,0,
1093762601,Christopher Gibbons,I,Neurology,Boston,MA,hospital,95923|95924,11,22,12,24,14,28,Y
1265489058,Guido Navarra,I,Internal Medicine,Newburyport,MA,office,95921|95923,386,795,341,634,53,98,
1568563245,Jayashri Srinivasan,I,Neurology,Burlington,MA,hospital,95923|95924,11,11,27,53,13,26,
1245401678,Louis Tramontozzi,I,Neurology,Beverly,MA,office,95923,0,0,0,0,11,11,
1184910689,Nathaniel Robbins,I,Neurology,Boston,MA,hospital,95921|95923|95924,13,24,0,0,95,190,
1588626568,Peter Novak,I,Neurology,Worcester,MA,hospital,95923|95924,109,214,118,235,114,228,
1417235557,Reza Seyedsadjadi,I,Neurology,Boston,MA,hospital,95923|95924,0,0,16,31,0,0,
1518905876,Roy Freeman,I,Neurology,Boston,MA,hospital,95923|95924,73,148,93,186,85,170,Y
1750333605,William David,I,Neurology,Boston,MA,hospital,95923|95924,59,117,71,141,0,0,
1609069111,Khosro Farhad,I,Neurology,Dover,NH,office,95923|95924,22,41,36,69,44,88,
1154360543,Joseph Centofanti,I,Neurology,Cranston,RI,office,95922|95923,19,34,21,44,11,22,
