payer,location_url
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A001-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A002-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A008-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A009-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A010-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A013-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A025-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A031-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A067-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A081-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A087-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A094-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A095-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A096-P1_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C00002-A099-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C00002-A100-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C00049-A008-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C07184-A101-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C10013-A002-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C10328-A001-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C10328-A089-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C10328-A090-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C10352-A008-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C30989-A013-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C77495-A010-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C78145-A099-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_C78145-A100-FS_allowed-amounts.zip
Harvard Pilgrim Health Care,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/no_claims_allowed-amounts.zip
Tufts Health Plan,https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectGroup_allowed-amounts.zip
Tufts Health Plan,https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectIndividual_allowed-amounts.zip
