tin_type,tin_value,business_names,rates_95924_26,service_codes,n_files,files,npi_count,npis
ein,04-2807148,MGPO INC DBA BENSON HENRY INSTITU,238.33,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,154,1003101056|1003340159|1003892449|1013038454|1013998160|1023340940|1043201502|1053447771|1063755981|1093760027|1104096353|1114247582|1114314127|1114992831|1124009881|1124052170|1124154836|1124347448|1134395767|1134533664|1144211640|1144496324|1144668781|1164885919|1174908594|1184614356|1184615700|1184949224|1194715524|1194956706|1194984054|1194988659|1205135571|1215105820|1215258751|1225475478|1255313359|1255394730|1255580031|1265415616|1275523615|1275940801|1285048439|1295774057|1295880508|1306810015|1306827241|1306969605|1326038043|1326314998|1326577685|1336139948|1346221322|1346230075|1366423733|1366641706|1366861353|1376517078|1376863266|1386770022|1396125217|1396727327|1396735601|1396834446|1407261605|1407846686|1407977473|1417184904|1417235557|1417947912|1427214386|1437124583|1437186327|1447315650|1477575413|1487636429|1497075964|1497840177|1508847310|1508971565|1518957422|1528167822|1528472875|1528556446|1558348037|1568663789|1578529798|1578590873|1588855928|1598027898|1598972382|1609069111|1619101136|1629059084|1629069109|1629365234|1639105513|1639160534|1639344583|1649475179|1649737222|1659355238|1659664373|1659944296|1669815486|1679869135|1689801979|1689929333|1699156687|1699749390|1699924670|1700867975|1710336003|1720060916|1720108400|1720295124|1730610056|1740262021|1750333605|1750525291|1760459176|1770800146|1780674945|1780814723|1801123997|1821088337|1831124486|1841263159|1841310646|1861620247|1871549089|1871583930|1871819094|1871910711|1881607588|1891280707|1912345414|1912932906|1922081553|1922082858|1922597012|1932605474|1942595608|1952181042|1952391260|1952437600|1952664443|1952696429|1952861148|1962638197|1972762326|1982054581|1982670535|1982874046
ein,04-3466314,BRIGHAM AND WOMENS PHYSICIANS ORGANI,238.33,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,119,1003101056|1013038454|1013971290|1023340940|1033176359|1033347281|1043272198|1043276306|1053446013|1053447771|1063755981|1083782981|1114247582|1114373339|1114992831|1124009881|1124062195|1124347448|1134395767|1134533664|1144496324|1164885919|1184086654|1184614356|1184615700|1184949224|1194956706|1194988659|1205000148|1205496635|1225076771|1225477953|1235491903|1245495050|1245554708|1255394730|1265415616|1265422638|1285048439|1295029353|1295880508|1366641706|1366691354|1366861353|1376517078|1376640094|1376863266|1396957064|1407977473|1427012822|1437186327|1437592268|1437689833|1447315650|1457341083|1477535953|1508971565|1518225952|1528167822|1528472875|1548227911|1558348037|1588626568|1598064883|1598722274|1609075175|1619101136|1619986759|1629040282|1629059084|1629365234|1639105513|1639344583|1649475179|1649737222|1659463339|1659512838|1669462578|1669622908|1669815486|1679981864|1689663338|1689801979|1699136598|1699156687|1699749390|1699766238|1700867975|1710243332|1720060916|1720108400|1730610056|1740262021|1750810040|1770674723|1780814723|1790742096|1801278734|1801879150|1811346711|1831502798|1841263159|1841545142|1861620247|1871549089|1912345414|1912932906|1922081553|1922093863|1922597012|1932339025|1932561099|1932605474|1952181042|1952391260|1952669509|1952861148|1972802122|1982054581
ein,22-2768204,HARVARD MEDICAL FACULTY PHYS AT BIDM HMFP AT BIDMC DBA HEALTH,166.24,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,74,1023571361|1053603522|1053699918|1083654289|1093109563|1093762601|1093960783|1124063235|1124069448|1124223318|1134103799|1144457755|1154348043|1154697589|1184086654|1184653487|1194042895|1194762724|1205253218|1215236476|1235185539|1245271881|1245298298|1245325513|1255578332|1275981433|1326040197|1346200698|1346279890|1356538417|1356760821|1366496440|1386811032|1396232427|1396788972|1407119373|1427016658|1467493809|1467508283|1518905876|1528224987|1528596145|1619358371|1629066113|1629429543|1659715944|1699041780|1699169599|1710206248|1710516232|1720068661|1730353939|1730455734|1730541186|1760440564|1760635338|1780646349|1790705648|1811201940|1821031527|1821261702|1831332535|1851325427|1851339154|1851911689|1902126154|1912326000|1922361997|1932466943|1942560941|1952557423|1952589590|1972584167|1992321350
ein,04-2774441,THE CHILDRENS HOSPITAL CORP,572.67,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,72,1003305012|1003970328|1013174804|1023042785|1033772579|1073820247|1073975579|1073994216|1124044920|1124210968|1134305071|1134337249|1134495435|1154348043|1154716850|1164507539|1194762724|1194851832|1215507520|1225494958|1235123381|1235303678|1255658209|1275568487|1295718625|1295901619|1295901858|1316232705|1336414531|1356560155|1366860173|1386006997|1386087807|1396790788|1417135385|1427004902|1447410311|1457397770|1457541625|1467696138|1477877033|1487049680|1487671269|1487928735|1497149900|1518087303|1548720014|1578299020|1609403153|1609647619|1619201472|1619247608|1619361672|1619498425|1629217641|1659790384|1669868550|1679967590|1700867975|1720295686|1750822003|1801138201|1821053133|1881636017|1891254041|1891962171|1902983257|1912400748|1912927377|1922272350|1922307172|1932637709
ein,22-2678594,CHILDRENS HOSPITAL NEUROLOGY FNDT,572.67,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,72,1003305012|1003970328|1013174804|1023042785|1033772579|1073820247|1073975579|1073994216|1124044920|1124210968|1134305071|1134337249|1134495435|1154348043|1154716850|1164507539|1194762724|1194851832|1215507520|1225494958|1235123381|1235303678|1255658209|1265639389|1275568487|1295718625|1295901619|1295901858|1316232705|1336414531|1336631217|1356560155|1366860173|1386006997|1386087807|1396790788|1417135385|1427004902|1447410311|1457397770|1457541625|1467696138|1477877033|1487049680|1487671269|1487928735|1497149900|1548720014|1578299020|1609403153|1609647619|1619201472|1619247608|1619361672|1619498425|1629217641|1659790384|1669868550|1679967590|1700867975|1720295686|1750822003|1801138201|1881636017|1891254041|1891962171|1902983257|1912400748|1912927377|1922272350|1922307172|1932637709
ein,04-2911067,UMASS MEMORIAL MEDICAL GROUP INC,209.73 | 219.73,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,65,1013990084|1023218914|1023437340|1023579349|1033347240|1043421845|1053608182|1083118574|1144376831|1144514688|1164776449|1174611008|1184644536|1184658825|1184687618|1205824356|1235303678|1255866232|1285945543|1295267466|1295932374|1316951718|1346737301|1376643478|1386650190|1396782108|1417277047|1427552835|1467868711|1518399443|1528492279|1538664990|1548602436|1568135903|1568994580|1588646905|1598025207|1609800267|1619455318|1629637988|1649474644|1669618187|1669767539|1669792636|1679069900|1740712173|1760809743|1801877329|1811920762|1821067141|1831264571|1831267798|1831283118|1841853926|1861923773|1871880906|1881057198|1881745826|1902034531|1922273200|1932561099|1962908798|1962931543|1982231304|1992798797
ein,04-2704683,LAHEY CLINIC INC,166.25,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,43,1023291556|1033202353|1033438031|1043486632|1063510048|1063806453|1093761587|1134337249|1174083703|1194162768|1255642286|1295891109|1306133293|1326362880|1336403930|1366963258|1386707370|1407370083|1437725504|1447263272|1477998789|1528353679|1528472073|1548433030|1568563245|1649733775|1689093270|1700314234|1710184627|1740276658|1760809743|1770894107|1790103299|1790103794|1801273859|1811934813|1861564346|1881089548|1922162221|1942662366|1952895948|1972769818|1982620837
ein,04-3428462,BOSTON UNIVERSITY NEUROLOGY,143.66,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,42,1003376039|1003807215|1013979277|1033646575|1063775013|1093135048|1104091107|1194952523|1205899846|1215236476|1215458369|1245293851|1245468636|1265675292|1295177830|1316200355|1336645332|1407290133|1437787298|1457732125|1477084713|1497737456|1508356809|1538663539|1548228935|1548238967|1548433030|1568637981|1619316650|1629112073|1659735330|1700413176|1720045123|1730141326|1811083066|1841390952|1871819094|1912340654|1912391491|1912495813|1922162221|1962899906
ein,04-2697983,THE GENERAL HOSPITAL CORPORATION DBA MASS GENERAL HOSPITAL,238.33 | 254.89,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,40,1003340159|1013038454|1023340940|1063755981|1114247582|1114992831|1124009881|1134395767|1144496324|1164885919|1184614356|1194988659|1285048439|1295880508|1326577685|1366861353|1376863266|1396125217|1487636429|1528472875|1528556446|1649475179|1659944296|1699749390|1699924670|1710336003|1720108400|1730610056|1740262021|1750810040|1770800146|1861620247|1871819094|1891280707|1922081553|1922597012|1932605474|1952181042|1952861148|1982054581
ein,04-2888373,BAYSTATE MEDICAL PRACTICES INC,97.07 | 128.23 | 137.17,11,4,Blue-Care-Elect-Fully-Insured | HMO-Blue-Fully-Insured | New-England-Managed-Care-Fully-Insured | PAR-Providers,30,1013179761|1033505821|1043771165|1124210968|1174674295|1194998005|1235303678|1245585678|1275503666|1295805075|1366582769|1457628786|1518040724|1568406858|1578299020|1588822787|1629099486|1629655378|1639581515|1659790384|1689675761|1700146792|1710934450|1730170994|1841619236|1881696813|1891228821|1891254041|1912135336|1912326000
