file,code,in_file,office_global,office_global_prices,office_global_provider_refs,office_global_range,office_global_mode,price_shapes
Blue-Care-Elect-Fully-Insured,93000,Y,Y,95.0,12220.0,14.54-100.94,17.11,"institutional/global/facility/other=61; professional/55/office=35; professional/55,73/office=6; professional/73/office=38; professional/global/office=98"
Blue-Care-Elect-Fully-Insured,93224,Y,Y,82.0,5033.0,74.07-514.09,87.14,institutional/global/facility/other=61; professional/52/office=33; professional/global/office=84
Blue-Care-Elect-Fully-Insured,93225,Y,Y,1.0,10.0,61.57-61.57,61.57,institutional/52/facility/other=61; institutional/global/facility/other=53; professional/52/office=32; professional/TC/office=89; professional/global/office=1
Blue-Care-Elect-Fully-Insured,93226,Y,Y,1.0,10.0,108.24-108.24,108.24,institutional/52/facility/other=58; institutional/global/facility/other=53; professional/TC/office=90; professional/global/office=1
Blue-Care-Elect-Fully-Insured,93227,Y,N,0.0,0.0,,,institutional/global/facility/other=61; professional/26/office=91; professional/52/office=32
Blue-Care-Elect-Fully-Insured,93660,Y,N,0.0,0.0,,,institutional/global/facility/other=61; professional/26/office=79
Blue-Care-Elect-Fully-Insured,93880,Y,Y,54.0,4301.0,246.82-1456.14,246.82,institutional/global/facility/other=61; professional/26/office=53; professional/52/facility/other=31; professional/global/office=54
Blue-Care-Elect-Fully-Insured,93886,Y,N,0.0,0.0,,,institutional/global/facility/other=61; professional/26/office=39
Blue-Care-Elect-Fully-Insured,95860,Y,Y,1.0,10.0,48.29-48.29,48.29,institutional/global/facility/other=61; professional/26/office=30; professional/53/office=29; professional/global/office=1
Blue-Care-Elect-Fully-Insured,95861,Y,Y,1.0,10.0,36.64-36.64,36.64,institutional/global/facility/other=61; professional/26/office=30; professional/global/office=1
Blue-Care-Elect-Fully-Insured,95862,N,,,,,,
Blue-Care-Elect-Fully-Insured,95863,Y,Y,1.0,10.0,46.66-46.66,46.66,institutional/global/facility/other=61; professional/global/office=1
Blue-Care-Elect-Fully-Insured,95864,Y,Y,1.0,10.0,88.55-88.55,88.55,institutional/global/facility/other=61; professional/global/office=1
Blue-Care-Elect-Fully-Insured,95865,Y,Y,1.0,10.0,33.32-33.32,33.32,institutional/global/facility/other=61; professional/global/office=1
