payer,file_id,mode,size_bytes,bytes_downloaded,bytes_decompressed,items_scanned,items_kept,kept_by_code,candidates_rejected,items_without_code,provider_ref_groups,provider_ref_rows,remote_ref_urls,needed_refs,elapsed_s,mb_per_s,peak_rss_mb,reporting_entity_name,version,last_updated_on,output,error
Harvard Pilgrim Health Care,A001-FS,disk-zip,107421636,107421636,3632255419,17244,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,7,0,1163,148383,0,1075,41.2,88.1,222,Harvard Pilgrim Health Care Inc.,2.0.1,2026-09-05,output/raw_items_hphc_A001-FS.jsonl,
Harvard Pilgrim Health Care,A002-FS,disk-zip,108083062,108083062,3626185132,17244,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,7,0,1162,150008,0,1074,40.8,88.8,233,Harvard Pilgrim Health Care Inc.,2.0.1,2026-09-05,output/raw_items_hphc_A002-FS.jsonl,
Harvard Pilgrim Health Care,A002-P1,disk-zip,108099754,108099754,3623886442,17244,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,7,0,1165,150008,0,1077,40.1,90.3,233,Harvard Pilgrim Health Care Inc.,2.0.1,2026-09-05,output/raw_items_hphc_A002-P1.jsonl,
Harvard Pilgrim Health Care,A008-FS,disk-zip,108389872,108389872,3596709584,17244,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,7,0,1180,150026,0,1092,39.1,91.9,234,Harvard Pilgrim Health Care Inc.,2.0.1,2026-09-05,output/raw_items_hphc_A008-FS.jsonl,
Harvard Pilgrim Health Care,A008-P1,disk-zip,108748364,108748364,3615661796,17244,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,7,0,1188,150026,0,1100,39.6,91.3,235,Harvard Pilgrim Health Care Inc.,2.0.1,2026-09-05,output/raw_items_hphc_A008-P1.jsonl,
Harvard Pilgrim Health Care,A013-P1,disk-zip,108860794,108860794,3615675211,17244,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,7,0,1188,150025,0,1100,49.6,72.9,235,Harvard Pilgrim Health Care Inc.,2.0.1,2026-09-05,output/raw_items_hphc_A013-P1.jsonl,
Harvard Pilgrim Health Care,A014-P1,disk-zip,109383368,109383368,3616921013,17244,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,7,0,1188,150024,0,1100,41.3,87.6,237,Harvard Pilgrim Health Care Inc.,2.0.1,2026-09-05,output/raw_items_hphc_A014-P1.jsonl,
Tufts Health Plan,DirectNonSubsidizedGroup,disk-zip,11654491,11654491,65287867,1736,0,,0,0,53715,1198932,0,0,3.5,18.9,228,"Tufts Health Public Plans, Inc.",2.0.0,2026-09-01,output/raw_items_tufts_DirectNonSubsidizedGroup.jsonl,
Tufts Health Plan,DirectNonSubsidizedIndividual,disk-zip,11650090,11650090,65266584,1736,0,,0,0,53702,1198950,0,0,3.4,18.9,228,"Tufts Health Public Plans, Inc.",2.0.0,2026-09-01,output/raw_items_tufts_DirectNonSubsidizedIndividual.jsonl,
Tufts Health Plan,DirectSubsidizedIndividual,disk-zip,11418100,11418100,62735142,1736,0,,0,0,52195,1169910,0,0,3.2,19.8,228,"Tufts Health Public Plans, Inc.",2.0.0,2026-09-01,output/raw_items_tufts_DirectSubsidizedIndividual.jsonl,
Blue Cross Blue Shield of Massachusetts,Blue-Care-Elect-Fully-Insured,stream,128036791,128036791,1039584804,19272,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,8,0,110763,8182265,0,7715,55.4,18.8,300,Blue Cross and Blue Shield of Massachusetts Inc,2.0.0,2026-09-01,output/raw_items_bcbsma_Blue-Care-Elect-Fully-Insured.jsonl,
Blue Cross Blue Shield of Massachusetts,HMO-Blue-Fully-Insured,stream,128061514,128061514,1042219378,19271,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,8,0,110297,8122752,0,7706,52.6,19.8,341,Blue Cross and Blue Shield of Massachusetts Inc,2.0.0,2026-09-01,output/raw_items_bcbsma_HMO-Blue-Fully-Insured.jsonl,
Blue Cross Blue Shield of Massachusetts,New-England-Managed-Care-Fully-Insured,stream,132997799,132997799,1066937061,19290,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,8,0,110970,8234461,0,7706,55.3,19.3,279,Blue Cross and Blue Shield of Massachusetts Inc,2.0.0,2026-09-01,output/raw_items_bcbsma_New-England-Managed-Care-Fully-Insured.jsonl,
Blue Cross Blue Shield of Massachusetts,PAR-Providers,stream,128059732,128059732,1041679286,19277,5,93660=1; 95921=1; 95922=1; 95923=1; 95924=1,8,0,112817,8162340,0,7721,52.0,20.0,316,Blue Cross and Blue Shield of Massachusetts Inc,2.0.0,2026-09-01,output/raw_items_bcbsma_PAR-Providers.jsonl,
