npi,tier,hospital_affiliated,known_autonomic_biller,state,taxonomy
1750798773,T1,N,N,MA,Social Worker - Clinical
1376080648,off-grid,Y,N,MA,Nurse Practitioner
1265470918,off-grid,Y,N,NH,Pediatrics
1689250359,T5,Y,N,MA,Radiology - Diagnostic Radiology
1487287157,T5,N,N,MA,Hearing Instrument Specialist
1487389029,T3,N,N,MA,Nurse Practitioner - Adult Health
1568675320,T5,N,N,NC,Psychologist - Clinical
1972769461,T1,N,N,NC,Counselor - Mental Health
1346895265,T1,N,N,FL,Social Worker
1598928525,T4,N,N,MA,Podiatrist - Foot & Ankle Surgery
1134173495,off-grid,N,N,MA,Physical Therapist
1598297541,off-grid,N,N,NJ,Internal Medicine
1326438862,off-grid,N,N,NH,Social Worker - Clinical
1194223164,T3,N,N,RI,Nurse Practitioner
1629142963,T4,N,N,NH,Nurse Practitioner
1447930581,off-grid,N,N,MA,Optometrist
1760987564,off-grid,N,N,MA,Counselor - Mental Health
1023225406,off-grid,Y,N,MA,Radiology - Vascular & Interventional Radiology
1982822102,T1,N,N,GA,Social Worker
1578128989,off-grid,N,N,RI,Emergency Medicine
1770950545,T5,N,N,MA,Clinic/Center - Physical Therapy
1316164874,T1,N,N,MA,Counselor - Mental Health
1598028409,off-grid,Y,N,MA,Pathology - Anatomic Pathology & Clinical Pathology
1518003474,off-grid,Y,N,RI,Physician Assistant - Surgical
1467786509,T3,N,N,MA,Nurse Practitioner - Pediatrics
1811995806,off-grid,N,N,MA,Surgery - Plastic and Reconstructive Surgery
1275162232,off-grid,N,N,NJ,Radiology - Diagnostic Radiology
1174392328,off-grid,Y,N,MA,Radiology - Diagnostic Radiology
1750339842,off-grid,N,N,MA,Internal Medicine - Infectious Disease
1841851441,off-grid,Y,N,MA,Ophthalmology
1366540718,T3,N,N,RI,Nurse Practitioner - Family
1689013906,off-grid,Y,N,MA,Radiology - Diagnostic Radiology
1003252990,T1,N,N,MA,Social Worker
1346879178,off-grid,N,N,MA,Emergency Medicine
1225787765,off-grid,Y,N,MA,Family Medicine
1508216854,off-grid,N,N,NH,Counselor - Mental Health
1528488798,T5,Y,N,MA,Internal Medicine
1306211131,T1,N,N,ME,Social Worker - Clinical
1750541181,off-grid,Y,N,MA,Internal Medicine - Cardiovascular Disease
1770277469,T1,N,N,VT,Counselor - Mental Health
1427711548,T1,N,N,MA,Behavior Analyst
1467960583,off-grid,N,N,MA,Nurse Practitioner - Family
1891084620,off-grid,Y,N,MA,Obstetrics & Gynecology
1871948422,off-grid,N,N,MA,Hospitalist
1093763062,T4,N,N,MN,Radiology - Diagnostic Radiology
1013313972,T3,N,N,MA,Nurse Practitioner - Pediatrics
1417256314,T5,N,N,MA,Dermatology
1629691050,off-grid,Y,N,NH,Family Medicine
1336704006,off-grid,N,N,MA,Physician Assistant
1528125119,off-grid,N,N,MA,Family Medicine
1922018969,T3,N,N,MA,Nurse Practitioner - Psychiatric/Mental Health
1639151640,off-grid,N,N,ME,Specialist
1396003257,off-grid,N,N,CA,Internal Medicine - Advanced Heart Failure and Transplant Cardiology
1780263145,T1,N,N,MS,Social Worker
1336551605,off-grid,N,N,NH,Physician Assistant
1932857646,T2,N,N,ME,Social Worker - Clinical
1063086874,off-grid,N,N,MA,Optometrist
1811388283,T1,N,N,RI,Social Worker
1730299629,T4,N,N,NH,Nurse Practitioner - Family
1790559888,off-grid,N,N,ME,"Clinic/Center - Rehabilitation, Substance Use Disorder"
1235245887,off-grid,Y,N,MA,Social Worker - Clinical
1801536016,off-grid,Y,N,MA,Nurse Practitioner - Psychiatric/Mental Health
1407996861,T1,N,N,MA,Counselor - Mental Health
1366753311,T1,N,N,MA,Counselor - Mental Health
1700564556,T1,N,N,MA,Counselor - Mental Health
1326355777,off-grid,N,N,NH,Internal Medicine
1003201989,off-grid,Y,N,MA,Emergency Medicine
1568626836,T5,N,N,NJ,Internal Medicine
1306209044,T1,N,N,ME,Social Worker - Clinical
1134345689,off-grid,N,N,MA,Optometrist
1811133739,T4,N,N,NH,Pathology - Anatomic Pathology & Clinical Pathology
1750161782,off-grid,N,N,ME,Orthopaedic Surgery - Adult Reconstructive Orthopaedic Surgery
1124012158,off-grid,N,N,NH,Internal Medicine
1043729866,T1,N,N,MA,Counselor - Mental Health
1073678652,off-grid,Y,N,MA,Nurse Practitioner
1447336904,T5,N,N,RI,Internal Medicine - Gastroenterology
1164661583,off-grid,N,N,RI,Physician Assistant
1801886353,T5,N,N,RI,Radiology - Diagnostic Radiology
1558866566,off-grid,Y,N,MA,Hospitalist
1295027324,T1,N,N,FL,Counselor - Mental Health
1720186505,T1,N,N,MA,Social Worker - Clinical
1780324665,T1,N,N,MA,Counselor - Mental Health
1750355467,off-grid,N,N,MA,Optometrist
1164074654,off-grid,N,N,MA,Nurse Practitioner - Family
1356568810,off-grid,N,N,CA,Radiology - Diagnostic Radiology
1467669622,off-grid,N,N,MA,Nurse Practitioner - Adult Health
1518942861,off-grid,N,N,CA,Radiology - Diagnostic Radiology
1982270336,off-grid,Y,N,MA,Pediatrics
1164700878,off-grid,Y,N,MN,Nurse Practitioner
1467135293,T3,N,N,CT,Nurse Practitioner - Family
1952626079,off-grid,N,N,NM,Radiology - Diagnostic Radiology
1710689815,T5,Y,N,MA,Pathology - Anatomic Pathology & Clinical Pathology
1972093318,off-grid,Y,N,MA,Internal Medicine
1538136684,off-grid,Y,N,MA,Nurse Practitioner - Adult Health
1285660670,T3,N,N,RI,Clinical Nurse Specialist
1073393435,off-grid,N,N,ME,Nurse Practitioner - Family
1841263332,off-grid,N,N,MA,Physical Medicine & Rehabilitation
1316309545,off-grid,Y,N,MA,Psychiatry & Neurology - Child & Adolescent Psychiatry
1841788916,off-grid,Y,N,ME,Emergency Medicine
1487760203,off-grid,N,N,MA,Internal Medicine - Infectious Disease
1518149616,T1,N,N,MA,Counselor - Mental Health
1477530616,off-grid,N,N,MA,Internal Medicine - Interventional Cardiology
1780697219,T1,N,N,MA,Social Worker - Clinical
1568864130,off-grid,Y,N,MA,Nurse Practitioner
1962981357,off-grid,N,N,RI,Nurse Practitioner - Primary Care
1003550690,off-grid,N,N,NY,Emergency Medicine
1598777930,off-grid,N,N,ME,Internal Medicine
1871053934,off-grid,N,N,NH,Internal Medicine
1457587172,off-grid,N,N,IL,Internal Medicine - Gastroenterology
1649246059,off-grid,N,N,NC,Internal Medicine - Nephrology
1134507023,off-grid,N,N,NH,Psychiatry & Neurology - Child & Adolescent Psychiatry
1851819346,T1,N,N,MA,Social Worker - Clinical
1356631436,off-grid,Y,N,MA,Internal Medicine
1548355431,T1,N,N,MA,Social Worker - Clinical
1538550876,T3,N,N,MA,Clinical Nurse Specialist - Psychiatric/Mental Health
1346353687,off-grid,N,N,MA,Preventive Medicine - Addiction Medicine
1881853919,off-grid,N,N,ME,Internal Medicine
1083693485,off-grid,N,N,MA,Radiology - Diagnostic Radiology
1306485735,off-grid,N,N,ME,Physician Assistant
