payer,file_description,location_url,number_of_reporting_plans,example_plan_names,plan_market_types,n_primary_tocs,n_employer_tocs,size_bytes,last_modified,content_type,content_encoding,head_method,head_status,head_error
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A001-FS_in-network-rates.zip,19,"BERKLEE COLLEGE OF MUSIC, INC. - Access America | Dudley-Charlton Reg Schl Dist - Access America | GROUP INSURANCE COMMISSION - Access America | Harvard Pilgrim Health Care - House Acct - Access America | LESLEY UNIVERSITY - Access America",group,0,19,107421636,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A001-P1_in-network-rates.zip,1,Access America,group; individual,0,1,107987101,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A002-FS_in-network-rates.zip,22,ASSUMPTION UNIVERSITY - Harvard Pilgrim PPO | BOSTON COLLEGE - Harvard Pilgrim PPO | BRANDEIS UNIVERSITY - Harvard Pilgrim PPO | Beth Israel Lahey Health (BILH) - Harvard Pilgrim PPO | CCMHG/Cape Cod Municipal Health Group - Harvard Pilgrim PPO,group,0,22,108083062,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A002-P1_in-network-rates.zip,1,Harvard Pilgrim PPO,group; individual,1,0,108099754,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A008-FS_in-network-rates.zip,37,"ASSUMPTION UNIVERSITY - HMO | BENTLEY UNIVERSITY - HMO | BERKLEE COLLEGE OF MUSIC, INC. - HMO | BOSTON COLLEGE - HMO | BRANDEIS UNIVERSITY - HMO",group,1,36,108389872,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A008-P1_in-network-rates.zip,6,HMO,group; individual,2,0,108748364,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A009-FS_in-network-rates.zip,1,Husson University - POS,group,0,1,107929509,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A009-P1_in-network-rates.zip,3,POS,group; individual,2,0,108389408,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A010-FS_in-network-rates.zip,16,BENTLEY UNIVERSITY - Best Buy PPO HSA | CCMHG/Cape Cod Municipal Health Group - Best Buy PPO HSA | CLARK UNIVERSITY - Best Buy PPO HSA | Cramer Production Company Inc. - Best Buy PPO HSA | DEAN COLLEGE - Best Buy PPO HSA,group,0,16,107859730,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A010-P1_in-network-rates.zip,2,Best Buy PPO HSA,group; individual,1,1,108023758,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A013-FS_in-network-rates.zip,12,ASSUMPTION UNIVERSITY - Focus Network - MA HMO | CITY OF WORCESTER - Focus Network - MA HMO | CLARK UNIVERSITY - Focus Network - MA HMO | EXCEL ACADEMY CHARTER SCHOOL - Focus Network - MA HMO | Fallon Health Plan - Focus Network - MA HMO,group,0,12,108384977,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A013-P1_in-network-rates.zip,2,Focus Network - MA HMO,group; individual,1,0,108860794,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A014-FS_in-network-rates.zip,13,CITY OF BEVERLY - ChoiceNet HMO | CITY OF BROCKTON - ChoiceNet HMO | CITY OF EVERETT - ChoiceNet HMO | CITY OF WORCESTER - ChoiceNet HMO | Harvard Pilgrim Health Care - House Acct - ChoiceNet HMO,group,1,12,108339952,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
