payer,role,toc_url,entity,entity_type,structures,plan_rows,in_network_links,seconds,error
Harvard Pilgrim Health Care,primary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim-Health-Care-Inc-HPHC_index.json,Harvard Pilgrim Health Care Inc.,HEALTH INSURANCE ISSUER,40,40,70,0.1,
Harvard Pilgrim Health Care,primary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim-Health-Care-House-Acct-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,3,3,3,0.0,
Harvard Pilgrim Health Care,primary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim-Health-Care-House-Acct-HPHCNE_index.json,Harvard Pilgrim Health Care of New England,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,primary,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Harvard-Pilgrim-Health-Care-of-New-England-HPHCNE_index.json,Harvard Pilgrim Health Care of New England,HEALTH INSURANCE ISSUER,36,36,48,0.0,
Tufts Health Plan,primary,https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlansInc_index.json,"Tufts Health Public Plans, Inc.",Health Insurance Issuer,3,27751,3,0.3,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_ASSUMPTION-UNIVERSITY-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,3,3,3,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_ASSUMPTION-UNIVERSITY-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,2,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_Admiral-Packaging-Inc-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,2,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_BENTLEY-UNIVERSITY-HPHC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,1,0.0,
Harvard Pilgrim Health Care,employer,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_BENTLEY-UNIVERSITY-HPIC_index.json,Harvard Pilgrim Health Care Inc.,THIRD PARTY ADMINISTRATOR,1,1,2,0.0,
