hospital,mrf_version,mrf_last_updated,code,code_type,description,modifiers,setting,billing_class,gross_charge,discounted_cash,deidentified_min,deidentified_max,payer_name,plan_name,standard_charge_dollar,standard_charge_percentage,standard_charge_algorithm,methodology,estimated_amount,median_amount,percentile_10th,percentile_90th,allowed_count,additional_notes,implied_dollar,implied_flag,rate_type,raw_setting,raw_billing_class,raw_methodology,source_format,source_ref
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,93660,HCPCS,HC CARDIOVASCULAR FUNC EVAL W TILT TABLE W MNTR,,both,facility,2310,2310,,,,,,,,,,,,,,Gross Charge Type: standard,,,no payer (gross/cash only),both,facillity,,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line1.standard_charges[0]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,95921,HCPCS,HC AUTONOMIC NERVOUS SYS FUNCTION TEST CARD,,both,facility,2207,2207,,,,,,,,,,,,,,Gross Charge Type: standard,,,no payer (gross/cash only),both,facillity,,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line2.standard_charges[0]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,95922,HCPCS,HC AUTONOMIC NERVOUS SYS FUNCTION TEST VASOMOTOR,,both,facility,3672,3672,,,,,,,,,,,,,,Gross Charge Type: standard,,,no payer (gross/cash only),both,facillity,,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line3.standard_charges[0]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,95923,HCPCS,HC AUTONOMIC NERVOUS SYS FUNCTION TEST SUDOMOTOR,,both,facility,3088,3088,,,,,,,,,,,,,,Gross Charge Type: standard,,,no payer (gross/cash only),both,facillity,,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line4.standard_charges[0]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,95924,HCPCS,HC AUTONOMIC NERVOUS SYS FUNCTION TEST W PASSIVE TILT,,both,facility,1097,1097,,,,,,,,,,,,,,Gross Charge Type: standard,,,no payer (gross/cash only),both,facillity,,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line5.standard_charges[0]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,93660,HCPCS,Tilt table evaluation,,outpatient,facility,,,502.78,1329.39,BCBS,HMO,1091.24,,,fee schedule,,,,,,,1091.24,FALSE,dollar,outpatient,facility,fee schedule,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line6.standard_charges[0].payers_information[0]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,93660,HCPCS,Tilt table evaluation,,outpatient,facility,,,502.78,1329.39,BCBS,PPO,1141.22,,,fee schedule,,,,,,,1141.22,FALSE,dollar,outpatient,facility,fee schedule,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line6.standard_charges[0].payers_information[1]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,93660,HCPCS,Tilt table evaluation,,outpatient,facility,,,502.78,1329.39,Harvard Pilgrim Healthcare,Self Insured Non LCU All Commercial Plans,1329.39,,,fee schedule,,,,,,,1329.39,FALSE,dollar,outpatient,facility,fee schedule,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line6.standard_charges[0].payers_information[2]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,93660,HCPCS,Tilt table evaluation,,outpatient,facility,,,502.78,1329.39,Unicare,GIC Wellpoint All Commercial Plans,502.78,,,fee schedule,,,,,,,502.78,FALSE,dollar,outpatient,facility,fee schedule,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line6.standard_charges[0].payers_information[3]
Beth Israel Deaconess Medical Center,3.0.0,2026-04-01,95921,HCPCS,Autonomic nrv parasym inervj,,outpatient,facility,,,325.87,396.97,BCBS,HMO,325.87,,,fee schedule,,,,,,,325.87,FALSE,dollar,outpatient,facility,fee schedule,JSON,raw_beth_israel_deaconess_medical_center.jsonl:line7.standard_charges[0].payers_information[0]
